,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageCars,GarageQual,PavedDrive,WoodDeckSF,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalBath,TotalPorch
0,1,60,RL,65.0,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,856,GasA,Ex,Y,SBrkr,1710,3,1,Gd,8,Typ,0,Attchd,2,TA,Y,0,2,2008,WD,Normal,208500,3.5,61
1,2,20,RL,80.0,9600,Pave,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,1262,GasA,Ex,Y,SBrkr,1262,3,1,TA,6,Typ,1,Attchd,2,TA,Y,298,5,2007,WD,Normal,181500,2.5,0
2,3,60,RL,68.0,11250,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,920,GasA,Ex,Y,SBrkr,1786,3,1,Gd,6,Typ,1,Attchd,2,TA,Y,0,9,2008,WD,Normal,223500,3.5,42
3,4,70,RL,60.0,9550,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,756,GasA,Gd,Y,SBrkr,1717,3,1,Gd,7,Typ,1,Detchd,3,TA,Y,0,2,2006,WD,Abnorml,140000,2.0,307
4,5,60,RL,84.0,14260,Pave,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,1145,GasA,Ex,Y,SBrkr,2198,4,1,Gd,9,Typ,1,Attchd,3,TA,Y,192,12,2008,WD,Normal,250000,3.5,84
5,6,50,RL,85.0,14115,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,796,GasA,Ex,Y,SBrkr,1362,1,1,TA,5,Typ,0,Attchd,2,TA,Y,40,10,2009,WD,Normal,143000,2.5,350
6,7,20,RL,75.0,10084,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,1686,GasA,Ex,Y,SBrkr,1694,3,1,Gd,7,Typ,1,Attchd,2,TA,Y,255,8,2007,WD,Normal,307000,3.0,57
7,8,60,RL,69.0,10382,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,1107,GasA,Ex,Y,SBrkr,2090,3,1,TA,7,Typ,2,Attchd,2,TA,Y,235,11,2009,WD,Normal,200000,3.5,432
8,9,50,RM,51.0,6120,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,952,GasA,Gd,Y,FuseF,1774,2,2,TA,8,Min1,2,Detchd,2,Fa,Y,90,4,2008,WD,Abnorml,129900,2.0,205
9,10,190,RL,50.0,7420,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,991,GasA,Ex,Y,SBrkr,1077,2,2,TA,5,Typ,2,Attchd,1,Gd,Y,0,1,2008,WD,Normal,118000,2.0,4
10,11,20,RL,70.0,11200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,1040,GasA,Ex,Y,SBrkr,1040,3,1,TA,5,Typ,0,Detchd,1,TA,Y,0,2,2008,WD,Normal,129500,2.0,0
11,12,60,RL,85.0,11924,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,1175,GasA,Ex,Y,SBrkr,2324,4,1,Ex,11,Typ,2,BuiltIn,3,TA,Y,147,7,2006,New,Partial,345000,4.0,21
12,13,20,RL,69.0,12968,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,912,GasA,TA,Y,SBrkr,912,2,1,TA,4,Typ,0,Detchd,1,TA,Y,140,9,2008,WD,Normal,144000,2.0,176
13,14,20,RL,91.0,10652,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,1494,GasA,Ex,Y,SBrkr,1494,3,1,Gd,7,Typ,1,Attchd,3,TA,Y,160,8,2007,New,Partial,279500,2.0,33
14,15,20,RL,69.0,10920,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,1253,GasA,TA,Y,SBrkr,1253,2,1,TA,5,Typ,1,Attchd,1,TA,Y,0,5,2008,WD,Normal,157000,2.5,389
15,16,45,RM,51.0,6120,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,832,GasA,Ex,Y,FuseA,854,2,1,TA,5,Typ,0,Detchd,2,TA,Y,48,7,2007,WD,Normal,132000,1.0,112
16,17,20,RL,69.0,11241,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,1004,GasA,Ex,Y,SBrkr,1004,2,1,TA,5,Typ,1,Attchd,2,TA,Y,0,3,2010,WD,Normal,149000,2.0,0
17,18,90,RL,72.0,10791,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,NA,NA,NA,0,GasA,TA,Y,SBrkr,1296,2,2,TA,6,Typ,0,CarPort,2,TA,Y,0,10,2006,WD,Normal,90000,2.0,0
18,19,20,RL,66.0,13695,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,1114,GasA,Ex,Y,SBrkr,1114,3,1,Gd,6,Typ,0,Detchd,2,TA,Y,0,6,2008,WD,Normal,159000,2.5,102
19,20,20,RL,70.0,7560,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,1029,GasA,TA,Y,SBrkr,1339,3,1,TA,6,Min1,0,Attchd,1,TA,Y,0,5,2009,COD,Abnorml,139000,1.0,0
20,21,60,RL,101.0,14215,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,1158,GasA,Ex,Y,SBrkr,2376,4,1,Gd,9,Typ,1,BuiltIn,3,TA,Y,240,11,2006,New,Partial,325300,3.5,154
21,22,45,RM,57.0,7449,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,637,GasA,Ex,Y,FuseF,1108,3,1,Gd,6,Typ,1,Attchd,1,TA,N,0,6,2007,WD,Normal,139400,1.0,205
22,23,20,RL,75.0,9742,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,1777,GasA,Ex,Y,SBrkr,1795,3,1,Gd,7,Typ,1,Attchd,2,TA,Y,171,9,2008,WD,Normal,230000,2.0,159
23,24,120,RM,44.0,4224,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,1040,GasA,TA,Y,SBrkr,1060,3,1,TA,6,Typ,1,Attchd,2,TA,Y,100,6,2007,WD,Normal,129900,2.0,110
24,25,20,RL,69.0,8246,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,1060,GasA,Ex,Y,SBrkr,1060,3,1,Gd,6,Typ,1,Attchd,1,TA,Y,406,5,2010,WD,Normal,154000,2.0,90
25,26,20,RL,110.0,14230,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,1566,GasA,Ex,Y,SBrkr,1600,3,1,Gd,7,Typ,1,Attchd,3,TA,Y,0,7,2009,WD,Normal,256300,2.0,56
26,27,20,RL,60.0,7200,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,900,GasA,TA,Y,SBrkr,900,3,1,Gd,5,Typ,0,Detchd,2,TA,Y,222,5,2010,WD,Normal,134800,1.5,32
27,28,20,RL,98.0,11478,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,1704,GasA,Ex,Y,SBrkr,1704,3,1,Gd,7,Typ,1,Attchd,3,TA,Y,0,5,2010,WD,Normal,306000,3.0,50
28,29,20,RL,47.0,16321,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,1484,GasA,TA,Y,SBrkr,1600,2,1,TA,6,Typ,2,Attchd,1,TA,Y,288,12,2006,WD,Normal,207500,2.0,258
29,30,30,RM,60.0,6324,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,520,GasA,Fa,N,SBrkr,520,1,1,Fa,4,Typ,0,Detchd,1,Fa,Y,49,5,2008,WD,Normal,68500,1.0,87
30,31,70,C (all),50.0,8500,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,649,GasA,TA,N,SBrkr,1317,3,1,TA,6,Typ,0,Detchd,1,TA,N,0,7,2008,WD,Normal,40000,1.0,226
31,32,20,RL,69.0,8544,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,1228,GasA,Gd,Y,SBrkr,1228,3,1,Gd,6,Typ,0,Attchd,1,TA,Y,0,6,2008,WD,Normal,149350,1.5,65
32,33,20,RL,85.0,11049,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,1234,GasA,Ex,Y,SBrkr,1234,3,1,Gd,7,Typ,0,Attchd,2,TA,Y,0,1,2008,WD,Normal,179900,2.0,30
33,34,20,RL,70.0,10552,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,1398,GasA,Gd,Y,SBrkr,1700,4,1,Gd,6,Typ,1,Attchd,2,TA,Y,0,4,2010,WD,Normal,165500,2.0,38
34,35,120,RL,60.0,7313,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,1561,GasA,Ex,Y,SBrkr,1561,2,1,Ex,6,Typ,1,Attchd,2,TA,Y,203,8,2007,WD,Normal,277500,3.0,47
35,36,60,RL,108.0,13418,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,1117,GasA,Ex,Y,SBrkr,2452,4,1,Gd,9,Typ,1,BuiltIn,3,TA,Y,113,9,2006,WD,Normal,309000,3.5,32
36,37,20,RL,112.0,10859,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,1097,GasA,Ex,Y,SBrkr,1097,3,1,TA,6,Typ,0,Attchd,2,TA,Y,392,6,2009,WD,Normal,145000,1.5,64
37,38,20,RL,74.0,8532,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,1297,GasA,Gd,Y,SBrkr,1297,3,1,TA,5,Typ,1,Attchd,2,TA,Y,0,10,2009,WD,Normal,153000,1.5,0
38,39,20,RL,68.0,7922,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,1057,GasA,TA,Y,SBrkr,1057,3,1,Gd,5,Typ,0,Detchd,1,TA,Y,0,1,2010,WD,Abnorml,109000,2.0,52
39,40,90,RL,65.0,6040,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,TA,TA,PConc,NA,NA,NA,0,GasA,TA,N,FuseP,1152,2,2,Fa,6,Typ,0,NA,0,NA,N,0,6,2008,WD,AdjLand,82000,2.0,0
40,41,20,RL,84.0,8658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,1088,GasA,Ex,Y,SBrkr,1324,3,1,TA,6,Typ,1,Attchd,2,TA,Y,0,12,2006,WD,Abnorml,160000,2.0,138
41,42,20,RL,115.0,16905,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,Gd,1350,GasA,Gd,Y,SBrkr,1328,2,1,TA,5,Typ,2,Attchd,1,TA,P,0,7,2007,WD,Normal,170000,2.0,104
42,43,85,RL,69.0,9180,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,840,GasA,Gd,Y,SBrkr,884,2,1,Gd,5,Typ,0,Attchd,2,TA,Y,240,12,2007,WD,Normal,144000,2.0,0
43,44,20,RL,69.0,9200,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Av,938,GasA,TA,Y,SBrkr,938,3,1,TA,5,Typ,0,Detchd,1,TA,Y,145,7,2008,WD,Normal,130250,2.0,0
44,45,20,RL,70.0,7945,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,1150,GasA,Ex,Y,FuseA,1150,3,1,TA,6,Typ,0,Attchd,1,TA,Y,0,5,2006,WD,Normal,141000,2.0,0
45,46,120,RL,61.0,7658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,1752,GasA,Ex,Y,SBrkr,1752,2,1,Ex,6,Typ,1,Attchd,2,TA,Y,196,2,2010,WD,Normal,319900,3.0,82
46,47,50,RL,48.0,12822,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,1434,GasA,Ex,Y,SBrkr,2149,1,1,Gd,6,Typ,1,Attchd,2,TA,Y,168,8,2009,WD,Abnorml,239686,2.5,241
47,48,20,FV,84.0,11096,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,1656,GasA,Ex,Y,SBrkr,1656,3,1,Gd,7,Typ,0,Attchd,3,TA,Y,0,7,2007,WD,Normal,249700,2.0,146
48,49,190,RM,33.0,4456,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,736,GasA,Gd,Y,SBrkr,1452,2,3,TA,8,Typ,0,NA,0,NA,N,0,6,2009,New,Partial,113000,2.0,102
49,50,20,RL,66.0,7742,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,955,GasA,Ex,Y,SBrkr,955,3,1,TA,6,Typ,0,Attchd,1,TA,Y,0,1,2007,WD,Normal,127000,2.0,0
